Finca,Bloque,Fecha,producto,variedad,Talloxramo,ramo,talloscontados70dias,grado,codigocortador
Victoria,1,11/08/17,Crisantemo,Baltica,7,10,63,CP,035AP
Victoria,1,11/08/17,Crisantemo,Margarita,7,10,70,CP,036AP
Victoria,1,11/08/17,Crisantemo,Baltica,7,10,66,AP,035AP
Victoria,1,11/08/17,Crisantemo,Margarita,7,9,62,AP,036AP
Victoria,1,11/08/17,Crisantemo,Baltica,7,10,65,AP,035AP
Victoria,1,11/08/17,Crisantemo,Margarita,7,9,62,AP,036AP
Victoria,1,11/08/17,Crisantemo,Baltica,7,6,39,AP,035AP
Victoria,1,11/08/17,Crisantemo,Baltica,7,6,42,AP,036AP
Victoria,2,11/08/17,Crisantemo,Baltica,7,6,40,CP,037AP
Victoria,2,11/08/17,Crisantemo,Baltica,7,10,68,CP,037AP
Victoria,2,11/08/17,Crisantemo,Baltica,7,10,66,CP,037AP
Victoria,2,11/08/17,Crisantemo,Baltica,7,6,37,AP,037AP
Victoria,2,11/08/17,Crisantemo,Baltica,7,10,66,AP,037AP
Victoria,2,11/08/17,Crisantemo,Margarita,7,10,68,CP,037AP
Victoria,2,11/08/17,Crisantemo,Margarita,7,10,64,CP,037AP
Victoria,2,11/08/17,Crisantemo,Margarita,7,10,67,CP,038AP
Victoria,3,11/08/17,Crisantemo,Baltica,7,7,47,CP,038AP
Victoria,3,11/08/17,Crisantemo,Margarita,7,10,63,CP,038AP
Victoria,3,11/08/17,Crisantemo,Baltica,7,10,70,CP,038AP
Victoria,3,11/08/17,Crisantemo,Baltica,7,10,68,CP,038AP
Victoria,3,11/08/17,Crisantemo,Baltica,7,7,49,CP,038AP
Victoria,3,11/08/17,Crisantemo,Baltica,7,7,42,CP,038AP
Victoria,3,11/08/17,Crisantemo,Margarita,7,10,68,AP,039AP
Victoria,3,11/08/17,Crisantemo,Margarita,7,10,70,AP,039AP
Victoria,3,11/08/17,Crisantemo,Margarita,7,10,69,AP,039AP
Victoria,3,11/08/17,Crisantemo,Margarita,7,10,65,CP,039AP
Victoria,3,11/08/17,Crisantemo,Margarita,7,9,60,CP,039AP
Victoria,3,11/08/17,Crisantemo,Margarita,7,10,68,AP,039AP
Victoria,3,11/08/17,Crisantemo,Baltica,7,10,67,AP,039AP
Victoria,4,11/08/17,Crisantemo,Margarita,7,10,69,CP,039AP
Victoria,4,11/08/17,Crisantemo,Baltica,7,10,67,CP,043AP
Victoria,4,11/08/17,Crisantemo,Baltica,7,10,67,CP,043AP
Victoria,4,11/08/17,Crisantemo,Baltica,7,7,42,AP,043AP
Victoria,4,11/08/17,Crisantemo,Baltica,7,10,66,CP,043AP
Victoria,4,11/08/17,Crisantemo,Margarita,7,9,59,AP,043AP
Victoria,4,11/08/17,Crisantemo,Baltica,7,4,26,AP,043AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,6,39,CP,044AP
Aquitania,1,12/08/17,Crisantemo,Baltica,7,10,69,CP,044AP
Aquitania,1,12/08/17,Crisantemo,Baltica,7,10,69,CP,044AP
Aquitania,1,12/08/17,Crisantemo,Baltica,7,10,68,CP,044AP
Aquitania,1,12/08/17,Crisantemo,Baltica,7,10,63,AP,044AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,7,48,AP,044AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,10,70,CP,045AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,10,68,CP,045AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,10,65,CP,045AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,7,43,CP,045AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,7,45,AP,045AP
Aquitania,1,12/08/17,Crisantemo,Baltica,7,10,70,AP,045AP
Aquitania,1,12/08/17,Crisantemo,Margarita,7,10,68,CP,040AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,10,65,CP,040AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,10,63,CP,040AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,9,56,CP,040AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,10,69,CP,040AP
Aquitania,2,12/08/17,Crisantemo,Margarita,7,9,59,CP,040AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,4,22,AP,040AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,10,69,CP,041AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,10,65,CP,041AP
Aquitania,2,12/08/17,Crisantemo,Margarita,7,10,70,CP,041AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,9,57,CP,041AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,10,67,AP,041AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,9,60,CP,041AP
Aquitania,2,12/08/17,Crisantemo,Margarita,7,6,40,AP,041AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,10,63,AP,041AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,6,40,CP,042AP
Aquitania,2,12/08/17,Crisantemo,Baltica,7,6,38,CP,042AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,70,AP,042AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,65,AP,042AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,66,CP,042AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,70,CP,042AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,7,45,CP,042AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,67,CP,042AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,65,AP,045AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,64,CP,045AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,6,36,AP,045AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,69,AP,045AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,67,CP,045AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,64,CP,045AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,65,AP,045AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,6,38,AP,045AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,67,AP,045AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,70,AP,046AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,63,AP,046AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,69,CP,046AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,10,64,CP,046AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,70,CP,046AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,9,58,AP,046AP
Aquitania,3,12/08/17,Crisantemo,Margarita,7,10,68,AP,046AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,9,58,CP,046AP
Aquitania,3,12/08/17,Crisantemo,Baltica,7,6,37,CP,046AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,6,35,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,6,40,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,64,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,69,AP,047AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,69,AP,047AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,66,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,65,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,68,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,70,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,9,60,CP,047AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,63,AP,047AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,9,57,AP,048AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,64,AP,048AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,63,CP,048AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,65,CP,048AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,66,CP,048AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,70,AP,048AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,69,AP,049AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,9,61,CP,049AP
Aquitania,4,12/08/17,Crisantemo,Baltica,7,10,63,CP,049AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,9,56,CP,049AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,63,CP,049AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,9,60,CP,049AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,66,AP,049AP
Aquitania,4,12/08/17,Crisantemo,Margarita,7,10,68,AP,049AP
